Symbol,Date,Open,High,Low,Close
KSE-100,27-Aug-18,42618.01,42873.12,42612.51,42745.78
KSE-100,28-Aug-18,42730.05,42843.36,42514.27,42544.47
KSE-100,29-Aug-18,42564.34,42628.34,42157.63,42249.44
KSE-100,30-Aug-18,42261.44,42273.52,41659.26,41863.52
KSE-100,31-Aug-18,41888.23,42006.03,41626.47,41742.24
KSE-100,03-Sep-18,41731.76,41731.76,41192.04,41581.96
KSE-100,04-Sep-18,41594.98,41790.77,41555.84,41753.89
KSE-100,05-Sep-18,41766.77,41805.34,41493.66,41620.96
KSE-100,06-Sep-18,41609.97,41715.46,41222.84,41266.39
KSE-100,07-Sep-18,41329.63,41416.74,40793.7,40854.77
KSE-100,10-Sep-18,40860.6,40927.74,40369.17,40684.05
KSE-100,11-Sep-18,40723.4,40943.87,40519.03,40759.53
KSE-100,12-Sep-18,40768.98,40824.46,40424.09,40522.04
KSE-100,13-Sep-18,40498.05,41150.41,40339.04,41049.91
KSE-100,14-Sep-18,41147.91,41230.69,40789.76,40920.31
KSE-100,17-Sep-18,40933.53,40961.47,40254.67,40520.47
KSE-100,18-Sep-18,40540.53,41270.43,40438.01,41238.07
KSE-100,19-Sep-18,41299.73,41357.34,41100.58,41320.13
KSE-100,24-Sep-18,41394.97,41533.64,40899.28,41004.55
KSE-100,25-Sep-18,41018.81,41193.18,40957.3,41036.3
KSE-100,26-Sep-18,41073.37,41139.65,40717.78,40909.91
